PPD_ID,Gene Symbol,Gene ID,Protein concentration,Unit,Method,Sample type,Reference,Highest reported plasma protein level,Unit,Sample type
HPRD_01287,KIT,3815,8.2,ng/ml,Spectral counting,Plasma,21632744,8.2,ng/ml,Plasma
HPRD_01287,KIT,3815,333,ng/ml,ELISA,Serum,15070666,333,ng/ml,Serum
HPRD_01287,KIT,3815,4.8,ng/ml,-,Plasma,16335952,,,
HPRD_01287,KIT,3815,330,ng/ml,-,Plasma,19690635,,,
HPRD_01698,KITLG,4254,59,pg/ml,Immunoassay,Plasma,16038022,59,pg/ml,Plasma
HPRD_01698,KITLG,4254,565-1600,pg/ml,ELISA,Serum,15070666,1.6,ug/ml,Serum
HPRD_01698,KITLG,4254,330,ng/ml,-,Plasma,19690635,,,
HPRD_04054,KLK10,5655,50-1040,pg/ml,Immunofluorometric assay,Serum,12591730,1.04,ng/ml,Serum
HPRD_04054,KLK10,5655,440,pg/ml,-,Plasma,19690635,440,pg/ml,Plasma
HPRD_05114,KLK11,11012,2.2,ug/ml,-,Plasma,19690635,2.2,ug/ml,Plasma
HPRD_05844,KLK14,43847,160,pg/ml,-,Plasma,19690635,160,pg/ml,Plasma
HPRD_01006,KLK2,3817,1.5-370,pg/ml,Immunoassay,Serum,15247158,370,pg/ml,Serum
HPRD_01006,KLK2,3817,22,pg/ml,-,Plasma,19690635,22,pg/ml,Plasma
HPRD_01461,KLK3,354,0.09-52.2,ng/ml,Immunoassay,Serum,15247158,52.2,ng/ml,Serum
HPRD_01461,KLK3,354,1.9,ng/ml,-,Plasma,19690635,,,
HPRD_04037,KLK6,5653,18,ng/ml,Spectral counting,Plasma,21632744,18,ng/ml,Plasma
HPRD_04037,KLK6,5653,890-6580,pg/ml,Immunoassay,Serum,12637468,6.58,ug/ml,Serum
HPRD_04037,KLK6,5653,2900,pg/ml,-,Plasma,19690635,,,
HPRD_01971,KLKB1,3818,2.6,ug/ml,Spectral counting,Plasma,21632744,2.6,ug/ml,Plasma
HPRD_01971,KLKB1,3818,50,ug/ml,-,Plasma,15627965,,,
HPRD_01971,KLKB1,3818,50,ug/ml,-,Plasma,20204147,,,
HPRD_01970,KNG1,3827,28,ug/ml,Spectral counting,Plasma,21632744,82.39,ug/ml,Blood
HPRD_01970,KNG1,3827,82.39,ug/ml,Multiple reaction monitoring,Blood,23221968,1.085,mg/ml,Plasma
HPRD_01970,KNG1,3827,133,ug/ml,Multiple reaction monitoring,Plasma,23245390,,,
HPRD_01970,KNG1,3827,1085,ug/ml,Multiple reaction monitoring,Plasma,23592487,,,
HPRD_01970,KNG1,3827,61,ug/ml,-,Serum,20204147,,,
HPRD_01970,KNG1,3827,70,ug/ml,-,Plasma,15627965,,,
HPRD_01970,KNG1,3827,70,ug/ml,-,Plasma,20677825,,,
HPRD_01970,KNG1,3827,90,ug/ml,-,Plasma,15627965,,,
HPRD_01970,KNG1,3827,90,ug/ml,-,Plasma,20677825,,,
HPRD_01970,KNG1,3827,120,ug/ml,-,Plasma,12938928,,,
HPRD_01817,KRAS,3845,170,pg/ml,-,Plasma,19690635,170,pg/ml,Plasma
HPRD_00763,KRT1,3848,28,ug/ml,Spectral counting,Plasma,21632744,28,ug/ml,Plasma
HPRD_01021,KRT10,3858,210,ng/ml,Spectral counting,Plasma,21632744,210,ng/ml,Plasma
HPRD_01016,KRT13,3860,210,ng/ml,Spectral counting,Plasma,21632744,210,ng/ml,Plasma
HPRD_01017,KRT14,3861,210,ng/ml,Spectral counting,Plasma,21632744,210,ng/ml,Plasma
HPRD_01009,KRT15,3866,210,ng/ml,Spectral counting,Plasma,21632744,210,ng/ml,Plasma
HPRD_01018,KRT16,3868,210,ng/ml,Spectral counting,Plasma,21632744,210,ng/ml,Plasma
HPRD_01019,KRT17,3872,210,ng/ml,Spectral counting,Plasma,21632744,210,ng/ml,Plasma
HPRD_01020,KRT18,3875,4,ng/ml,-,Plasma,19690635,4,ng/ml,Plasma
HPRD_01007,KRT19,3880,210,ng/ml,Spectral counting,Plasma,21632744,210,ng/ml,Plasma
HPRD_01007,KRT19,3880,2.4,ng/ml,-,Plasma,19690635,,,
HPRD_02560,KRT2,3849,28,ug/ml,Spectral counting,Plasma,21632744,28,ug/ml,Plasma
HPRD_12193,KRT20,54474,210,ng/ml,Spectral counting,Plasma,21632744,210,ng/ml,Plasma
HPRD_01013,KRT3,3850,28,ug/ml,Spectral counting,Plasma,21632744,28,ug/ml,Plasma
HPRD_03047,KRT31,3881,210,ng/ml,Spectral counting,Plasma,21632744,210,ng/ml,Plasma
HPRD_04136,KRT33B,3884,210,ng/ml,Spectral counting,Plasma,21632744,210,ng/ml,Plasma
HPRD_05174,KRT36,8689,210,ng/ml,Spectral counting,Plasma,21632744,210,ng/ml,Plasma
HPRD_05176,KRT38,8687,210,ng/ml,Spectral counting,Plasma,21632744,210,ng/ml,Plasma
HPRD_00478,KRT4,3851,28,ug/ml,Spectral counting,Plasma,21632744,28,ug/ml,Plasma
HPRD_01010,KRT5,3852,16,ng/ml,Spectral counting,Plasma,21632744,16,ng/ml,Plasma
HPRD_09746,KRT72,140807,28,ug/ml,Spectral counting,Plasma,21632744,28,ug/ml,Plasma
HPRD_16304,KRT73,319101,28,ug/ml,Spectral counting,Plasma,21632744,28,ug/ml,Plasma
HPRD_11057,KRT75,9119,28,ug/ml,Spectral counting,Plasma,21632744,28,ug/ml,Plasma
HPRD_17171,KRT78,196374,28,ug/ml,Spectral counting,Plasma,21632744,28,ug/ml,Plasma
HPRD_01015,KRT8,3856,28,ug/ml,Spectral counting,Plasma,21632744,28,ug/ml,Plasma
HPRD_01015,KRT8,3856,3.13 ± 0.39,ng/ml,Chemiluminescent immunometric assay,Serum,12367790,3.52,ng/ml,Serum
HPRD_01015,KRT8,3856,50,ug/ml,-,Plasma,19690635,,,
HPRD_03691,KRT81,3887,28,ug/ml,Spectral counting,Plasma,21632744,28,ug/ml,Plasma
HPRD_03048,KRT82,3888,28,ug/ml,Spectral counting,Plasma,21632744,28,ug/ml,Plasma
HPRD_04139,KRT85,3891,28,ug/ml,Spectral counting,Plasma,21632744,28,ug/ml,Plasma
HPRD_06351,KRT9,3857,15,ug/ml,Spectral counting,Plasma,21632744,15,ug/ml,Plasma
HPRD_19657,KRTAP2-2,728279,3.9,ng/ml,Spectral counting,Plasma,21632744,3.9,ng/ml,Plasma
HPRD_18262,KRTDAP,388533,430,ng/ml,Spectral counting,Plasma,21632744,430,ng/ml,Plasma
HPRD_04292,LAIR1,3903,6.4,ng/ml,Spectral counting,Plasma,21632744,6.4,ng/ml,Plasma
HPRD_01024,LALBA,3906,20,ng/ml,-,Plasma,19690635,20,ng/ml,Plasma
HPRD_01125,LAMA2,3908,19,ng/ml,Spectral counting,Plasma,21632744,19,ng/ml,Plasma
HPRD_01029,LAMB1,3912,2.6,ng/ml,Spectral counting,Plasma,21632744,2.6,ng/ml,Plasma
HPRD_01034,LAMB2,3913,2.5,ng/ml,Spectral counting,Plasma,21632744,2.5,ng/ml,Plasma
HPRD_01030,LAMC1,3915,50,ng/ml,Spectral counting,Plasma,21632744,50,ng/ml,Plasma
HPRD_01076,LAMP1,3916,1.6,ng/ml,Spectral counting,Plasma,21632744,1.6,ng/ml,Plasma
HPRD_02396,LAMP2,3920,7.3,ng/ml,Spectral counting,Plasma,21632744,7.3,ng/ml,Plasma
HPRD_04485,LAMTOR3,8649,4,ng/ml,Spectral counting,Plasma,21632744,4,ng/ml,Plasma
HPRD_07516,LAP3,51056,15,ng/ml,Spectral counting,Plasma,21632744,15,ng/ml,Plasma
HPRD_04229,LASP1,3927,9.8,ng/ml,Spectral counting,Plasma,21632744,9.8,ng/ml,Plasma
HPRD_07175,LBP,3929,320,ng/ml,Spectral counting,Plasma,21632744,17,ug/ml,Plasma
HPRD_07175,LBP,3929,2.30-10,ug/ml,ELISA,Serum,12552453,10,ug/ml,Serum
HPRD_07175,LBP,3929,17-Jan,ug/ml,Chemiluminescent immunometric assay,Plasma,16183806,,,
HPRD_07175,LBP,3929,18,ug/ml,-,Plasma,15627965,,,
HPRD_06098,LCAT,3931,220,ng/ml,Spectral counting,Plasma,21632744,220,ng/ml,Plasma
HPRD_17267,LCMT2,9836,3.4,ng/ml,Spectral counting,Plasma,21632744,3.4,ng/ml,Plasma
HPRD_01059,LCN1,3933,2.7,ng/ml,Spectral counting,Plasma,21632744,2.7,ng/ml,Plasma
HPRD_02551,LCN2,3934,330,ng/ml,Spectral counting,Plasma,21632744,330,ng/ml,Plasma
HPRD_02551,LCN2,3934,172.85_±_57.94,ng/ml,ELISA,Serum,21133718,230.79,ng/ml,Serum
HPRD_02551,LCN2,3934,87,ng/ml,-,Plasma,15611012,150,ng/ml,Plasma
HPRD_01082,LCP1,3936,150,ng/ml,Spectral counting,Plasma,21632744,86,ng/ml,Plasma
HPRD_16172,LDB3,11155,1.7,ng/ml,Spectral counting,Plasma,21632744,1.7,ng/ml,Plasma
HPRD_01025,LDHA,3939,86,ng/ml,Spectral counting,Plasma,21632744,86,ng/ml,Plasma
HPRD_01026,LDHB,3945,86,ng/ml,Spectral counting,Plasma,21632744,21.33,ng/ml,Serum
HPRD_17269,LEAP2,116842,62,ng/ml,Spectral counting,Plasma,21632744,62,ng/ml,Plasma
HPRD_01249,LEP,3952,500,ng/ml,Spectral counting,Plasma,21632744,500,ng/ml,Plasma
HPRD_01249,LEP,3952,4.8±0.7,ng/ml,Radioimmunoassay,Serum,11720897,,,
HPRD_01249,LEP,3952,6.36±1.35,ng/ml,Radioimmunoassay,Serum,12559213,,,
HPRD_01249,LEP,3952,1.0-11.8,ng/ml,ELISA,Plasma,12138320,,,
HPRD_01249,LEP,3952,12.17 ± 9.16,ng/ml,ELISA,Serum,21226708,,,
HPRD_01249,LEP,3952,15.58±2.77,ng/ml,ELISA,Serum,15588149,,,
HPRD_01249,LEP,3952,9.0±1.3,ng/ml,ELISA,Plasma,16320084,,,
HPRD_01249,LEP,3952,4.8,ng/ml,-,Plasma,19690635,,,
HPRD_03001,LEPR,3953,21.88±2.36,ng/ml,Radioimmunoassay,Serum,15588149,25.2,ng/ml,Serum
HPRD_03001,LEPR,3953,22.9±2.3,ng/ml,Radioimmunoassay,Serum,12559213,23,ng/ml,Plasma
HPRD_03001,LEPR,3953,21,ng/ml,-,Plasma,16335952,,,
HPRD_03001,LEPR,3953,23,ng/ml,-,Plasma,15611012,,,
HPRD_01040,LGALS1,3956,81,ng/ml,Spectral counting,Plasma,21632744,81,ng/ml,Plasma
HPRD_02796,LGALS3BP,3959,440,ng/ml,Spectral counting,Plasma,21632744,440,ng/ml,Plasma
HPRD_02796,LGALS3BP,3959,9.1,ug/ml,-,Plasma,19690635,,,
HPRD_13708,LGALSL,29094,4.9,ng/ml,Spectral counting,Plasma,21632744,4.9,ng/ml,Plasma
HPRD_08869,LIF,3976,0.0-10.4,pg/ml,ELISA,Serum,9883970,10.4,pg/ml,Serum
HPRD_08869,LIF,3976,0-1.1,pg/ml,ELISA,Serum,10233412,,,
HPRD_01048,LIFR,3977,5,ng/ml,Immunoassay,Plasma,16038022,5,ng/ml,Plasma
HPRD_10382,LILRA3,11026,25,ng/ml,Spectral counting,Plasma,21632744,25,ng/ml,Plasma
HPRD_03978,LIMS1,3987,16,ng/ml,Spectral counting,Plasma,21632744,16,ng/ml,Plasma
HPRD_17285,LMAN2,10960,11,ng/ml,Spectral counting,Plasma,21632744,11,ng/ml,Plasma
HPRD_01035,LMNA,4000,7.5,ng/ml,Spectral counting,Plasma,21632744,7.5,ng/ml,Plasma
HPRD_01036,LMNB1,4001,1.2,ng/ml,Spectral counting,Plasma,21632744,1.2,ng/ml,Plasma
HPRD_01037,LMNB2,84823,6.1,ng/ml,Spectral counting,Plasma,21632744,6.1,ng/ml,Plasma
HPRD_01087,LOX,4015,4.1,ng/ml,Spectral counting,Plasma,21632744,4.1,ng/ml,Plasma
HPRD_08861,LOXL1,4016,18,ng/ml,Spectral counting,Plasma,21632744,18,ng/ml,Plasma
HPRD_01063,LPA,4018,1.4,ng/ml,Spectral counting,Plasma,21632744,1.4,ng/ml,Plasma
HPRD_01063,LPA,4018,14±10,mg/dl,Immunoturbidometry,Serum,12818410,240,ug/ml,Serum
HPRD_01063,LPA,4018,140,ug/ml,-,Plasma,15611012,,,
HPRD_01999,LPL,4023,28,ng/ml,-,Plasma,15611012,28,ng/ml,Plasma
HPRD_10056,LRG1,116844,2.7,ug/ml,Spectral counting,Plasma,21632744,2.7,ug/ml,Plasma
HPRD_10056,LRG1,116844,50,ug/ml,ELISA,Serum,18436231,,,
HPRD_10056,LRG1,116844,21,ug/ml,-,Serum,20204147,,,
HPRD_00138,LRP1,4035,20,ng/ml,Spectral counting,Plasma,21632744,10.8,ug/ml,Plasma
HPRD_00138,LRP1,4035,3.7-10.8,ug/ml,Immunoassay,Plasma,9295345,,,
HPRD_00138,LRP1,4035,6,ug/ml,-,Plasma,15611012,,,
HPRD_09128,LSAMP,4045,16,ng/ml,Spectral counting,Plasma,21632744,16,ng/ml,Plasma
HPRD_01056,LTA4H,4048,25,ng/ml,Spectral counting,Plasma,21632744,25,ng/ml,Plasma
HPRD_01039,LTBP1,4052,46,ng/ml,Spectral counting,Plasma,21632744,46,ng/ml,Plasma
HPRD_03650,LTBP2,4053,64,ng/ml,Spectral counting,Plasma,21632744,64,ng/ml,Plasma
HPRD_05274,LTBP4,8425,15,ng/ml,Spectral counting,Plasma,21632744,15,ng/ml,Plasma
HPRD_01028,LTF,4057,360,ug/ml,Spectral counting,Plasma,21632744,360,ug/ml,Plasma
HPRD_01028,LTF,4057,270,ng/ml,-,Plasma,19690635,,,
HPRD_02793,LUM,4060,4,ug/ml,Spectral counting,Plasma,21632744,4,ug/ml,Plasma
HPRD_16201,LYNX1,66004,5.3,ng/ml,Spectral counting,Plasma,21632744,5.3,ng/ml,Plasma
HPRD_05753,LYVE1,10894,6.2,ng/ml,Spectral counting,Plasma,21632744,6.2,ng/ml,Plasma
HPRD_01085,LYZ,4069,51,ng/ml,Spectral counting,Plasma,21632744,51,ng/ml,Plasma
HPRD_05066,MAN1A1,4121,5.6,ng/ml,Spectral counting,Plasma,21632744,5.6,ng/ml,Plasma
HPRD_01110,MAN2A1,4124,3.9,ng/ml,Spectral counting,Plasma,21632744,3.9,ng/ml,Plasma
HPRD_02008,MANBA,4126,1.7,ng/ml,Spectral counting,Plasma,21632744,1.7,ng/ml,Plasma
HPRD_03558,MANF,7873,6.5,ng/ml,Spectral counting,Plasma,21632744,6.5,ng/ml,Plasma
HPRD_04379,MAPRE1,22919,3.3,ng/ml,Spectral counting,Plasma,21632744,3.3,ng/ml,Plasma
HPRD_02749,MASP1,5648,69,ng/ml,Spectral counting,Plasma,21632744,,,
HPRD_02749,MASP1,5648,240,ng/ml,Spectral counting,Plasma,21632744,240,ng/ml,Plasma
HPRD_05484,MASP2,10747,2.8,ug/ml,Spectral counting,Plasma,21632744,891,ng/ml,Serum
HPRD_05484,MASP2,10747,18-891,ng/ml,Immunofluorometric assay,Serum,15746044,,,
HPRD_01170,MB,4151,210,ng/ml,Spectral counting,Plasma,21632744,210,ng/ml,Plasma
HPRD_01170,MB,4151,32.8±14.0,ug/l,Immunoturbidimetry,Plasma,9581860,,,
HPRD_01170,MB,4151,42,ng/ml,-,Plasma,15611012,,,
HPRD_01170,MB,4151,90,ng/ml,-,Plasma,20698492,,,
HPRD_01107,MBL2,4153,67,ng/ml,Spectral counting,Plasma,21632744,97,ng/ml,Plasma
HPRD_01107,MBL2,4153,97,ng/ml,Immunoassay,Plasma,16038022,3.61,ug/ml,Serum
HPRD_01107,MBL2,4153,1.49 ± 2.12,ug/ml,ELISA,Serum,21725183,,,
HPRD_01107,MBL2,4153,97,ng/ml,-,Plasma,19572557,,,
HPRD_01158,MBP,4155,2.7,ng/ml,Spectral counting,Plasma,21632744,,,
HPRD_01158,MBP,4155,2.5,ng/ml,-,Plasma,15611012,2.7,ng/ml,Plasma
HPRD_01120,MCAM,4162,25,ng/ml,Spectral counting,Plasma,21632744,25,ng/ml,Plasma
HPRD_09693,MCFD2,90411,4.7,ng/ml,Spectral counting,Plasma,21632744,4.7,ng/ml,Plasma
HPRD_01100,MDH1,4190,39,ng/ml,Spectral counting,Plasma,21632744,39,ng/ml,Plasma
HPRD_01099,MDH2,4191,15,ng/ml,Spectral counting,Plasma,21632744,15,ng/ml,Plasma
HPRD_01200,MDK,4192,150,pg/ml,-,Plasma,19690635,150,pg/ml,Plasma
HPRD_01102,ME1,4199,6.6,ng/ml,Spectral counting,Plasma,21632744,6.6,ng/ml,Plasma
HPRD_10370,MEGF8,1954,4.3,pg/ml,Spectral counting,Plasma,21632744,4.3,pg/ml,Plasma
HPRD_02666,MEP1A,4224,18,ng/ml,Spectral counting,Plasma,21632744,18,ng/ml,Plasma
HPRD_01280,MET,4233,2.5,ng/ml,Spectral counting,Plasma,21632744,2.5,ng/ml,Plasma
HPRD_01280,MET,4233,124-397,ng/ml,ELISA,Serum,21466586,397,ng/ml,Serum
HPRD_02789,MFAP4,4239,5.9,ng/ml,Spectral counting,Plasma,21632744,5.9,ng/ml,Plasma
HPRD_03063,MFAP5,8076,140,ng/ml,Spectral counting,Plasma,21632744,140,ng/ml,Plasma
HPRD_01122,MFI2,4241,360,ug/ml,Spectral counting,Plasma,21632744,360,ug/ml,Plasma
HPRD_01112,MGP,4256,92,ng/ml,Spectral counting,Plasma,21632744,92,ng/ml,Plasma
HPRD_03216,MIA,8190,8.8,ng/ml,-,Plasma,19690635,8.8,ng/ml,Plasma
HPRD_01091,MIF,4282,9.9,ng/ml,Spectral counting,Plasma,21632744,9.9,ng/ml,Plasma
HPRD_05652,MINPP1,9562,16,ng/ml,Spectral counting,Plasma,21632744,16,ng/ml,Plasma
HPRD_12033,MLXIPL,51085,6.4,ng/ml,Spectral counting,Plasma,21632744,6.4,ng/ml,Plasma
HPRD_00392,MME,4311,250,pg/ml,-,Plasma,15611012,250,pg/ml,Plasma
HPRD_00392,MME,4311,250,pg/ml,-,Plasma,19690635,,,
HPRD_00384,MMP1,4312,0.71-7.14,ng/ml,ELISA,Plasma,15970581,4.09,ng/ml,serum
HPRD_00384,MMP1,4312,2.59±1.5,ng/ml,ELISA,serum,21770773,,,
HPRD_00384,MMP1,4312,49.91 ±27.31,ng/ml,ELISA,Plasma,20708200,,,
HPRD_02522,MMP13,4322,90.36± 51.36,ng/ml,ELISA,Plasma,20708200,141.7,ng/ml,Plasma
HPRD_02856,MMP14,4323,21,ng/ml,Spectral counting,Plasma,21632744,21,ng/ml,Plasma
HPRD_00386,MMP2,4313,24,ng/ml,Spectral counting,Plasma,21632744,899,ng/ml,Plasma
HPRD_00386,MMP2,4313,727.6±171.4,ng/ml,Sandwich enzyme Immunoassay,Plasma,11434385,,,
HPRD_00386,MMP2,4313,8.8,ng/ml,Immunoassay,Plasma,16038022,,,
HPRD_00386,MMP2,4313,8.8,ng/ml,-,Plasma,19572557,,,
HPRD_00386,MMP2,4313,100,ng/ml,-,Plasma,19690635,,,
HPRD_00386,MMP2,4313,100,ng/ml,-,Plasma,20698492,,,
HPRD_00386,MMP2,4313,810,ng/ml,-,Plasma,15611012,,,
HPRD_01703,MMP3,4314,79.6±29.9,ng/ml,Sandwich enzyme Immunoassay,Plasma,11434385,58.6,ng/ml,serum
HPRD_01703,MMP3,4314,0.4-7,ng/ml,ELISA,Serum,18674944,109.5,ng/ml,Plasma
HPRD_01703,MMP3,4314,37.43±21.2,ng/ml,ELISA,serum,21770773,,,
HPRD_01703,MMP3,4314,8.2±5.3,ng/ml,ELISA,Plasma,11568071,,,
HPRD_01703,MMP3,4314,8,ng/ml,-,Plasma,15611012,,,
HPRD_01703,MMP3,4314,8,ng/ml,-,Plasma,19690635,,,
HPRD_01525,MMP7,4316,0.04-0.07,ng/ml,ELISA,Serum,21854733,70,pg/ml,Serum
HPRD_00385,MMP8,4317,900,pg/ml,Immunoassay,Plasma,16038022,23.88,ng/ml,Serum
HPRD_00385,MMP8,4317,12.4 ± 0.4,ng/ml,ELISA,Plasma,18632595,98.75,ng/ml,Plasma
HPRD_00385,MMP8,4317,7.96-23.88,ng/ml,ELISA,Serum,21854733,,,
HPRD_00385,MMP8,4317,75.39 ± 23.36,ng/ml,ELISA,Plasma,20708200,,,
HPRD_00387,MMP9,4318,28,ng/ml,Spectral counting,Plasma,21632744,,,
HPRD_00387,MMP9,4318,21.8±15.2,ng/ml,Sandwich enzyme Immunoassay,Plasma,11434385,21,ng/ml,Serum
HPRD_00387,MMP9,4318,41,ng/ml,Immunoassay,Plasma,16038022,98,ng/ml,Plasma
HPRD_00387,MMP9,4318,12.0-21.0,ng/ml,ELISA,Serum,21854733,,,
HPRD_00387,MMP9,4318,14.3±8.5,ng/ml,ELISA,Plasma,21576827,,,
HPRD_00387,MMP9,4318,28.2-98.0,ng/ml,ELISA,Plasma,12750540,,,
HPRD_00387,MMP9,4318,8.9±2.5,ng/ml,ELISA,Plasma,11568071,,,
HPRD_00387,MMP9,4318,9,ng/ml,-,Plasma,15611012,,,
HPRD_00387,MMP9,4318,41,ng/ml,-,Plasma,19572557,,,
HPRD_00387,MMP9,4318,189,ng/ml,-,Plasma,20698492,,,
HPRD_00387,MMP9,4318,190,ng/ml,-,Plasma,19690635,,,
HPRD_03267,MMRN1,22915,7.2,ng/ml,Spectral counting,Plasma,21632744,7.2,ng/ml,Plasma
HPRD_10601,MMRN2,79812,230,ng/ml,Spectral counting,Plasma,21632744,230,ng/ml,Plasma
HPRD_06102,MPO,4353,27,ng/ml,Spectral counting,Plasma,21632744,27,ng/ml,Plasma
HPRD_06102,MPO,4353,180,ng/ml,-,Plasma,16335952,,,
HPRD_11896,MPST,4357,2.4,ng/ml,Spectral counting,Plasma,21632744,2.4,ng/ml,Plasma
HPRD_01089,MRC1,4360,5.6,ng/ml,Spectral counting,Plasma,21632744,,,
HPRD_07202,MSH6,2956,1.2,ng/ml,Spectral counting,Plasma,21632744,1.2,ng/ml,Plasma
HPRD_01143,MSMB,4477,710,ng/ml,-,Plasma,19690635,5.6,ng/ml,Plasma
HPRD_02399,MSN,4478,47,ng/ml,Spectral counting,Plasma,21632744,710,ng/ml,Plasma
HPRD_00798,MST1,4485,250,ng/ml,Spectral counting,Plasma,21632744,47,ng/ml,Plasma
HPRD_00798,MST1,4485,20,ng/ml,-,Plasma,20698492,250,ng/ml,Plasma
HPRD_00798,MST1,4485,59,ng/ml,-,Plasma,16335952,,,
HPRD_08863,MT2A,4502,4.7,ng/ml,Spectral counting,Plasma,21632744,4.7,ng/ml,Plasma
HPRD_07574,MTPN,136319,18,ng/ml,Spectral counting,Plasma,21632744,18,ng/ml,Plasma
HPRD_01173,MYH2,4620,57,ng/ml,Spectral counting,Plasma,21632744,57,ng/ml,Plasma
HPRD_01175,MYH7,4625,57,ng/ml,Spectral counting,Plasma,21632744,57,ng/ml,Plasma
HPRD_01177,MYH9,4627,57,ng/ml,Spectral counting,Plasma,21632744,57,ng/ml,Plasma
HPRD_01180,MYL1,4632,3.4,ng/ml,Spectral counting,Plasma,21632744,3.4,ng/ml,Plasma
HPRD_10095,MYL12B,103910,2,ng/ml,Spectral counting,Plasma,21632744,2,ng/ml,Plasma
HPRD_01183,MYL3,4634,3.4,ng/ml,Spectral counting,Plasma,21632744,3.4,ng/ml,Plasma
HPRD_01183,MYL3,4634,1,ng/ml,-,Plasma,15611012,,,
HPRD_17618,MYL6,4637,14,ng/ml,Spectral counting,Plasma,21632744,14,ng/ml,Plasma
HPRD_03137,NACA,4666,2.9,ng/ml,Spectral counting,Plasma,21632744,2.9,ng/ml,Plasma
HPRD_02017,NAGLU,4669,1.4,ng/ml,Spectral counting,Plasma,21632744,1.4,ng/ml,Plasma
HPRD_01248,NAP1L1,4673,4.3,ng/ml,Spectral counting,Plasma,21632744,4.3,ng/ml,Plasma
HPRD_11873,NAP1L4,4676,7.5,ng/ml,Immunoassay,Plasma,16038022,7.5,ng/ml,Plasma
HPRD_15161,NAPRT1,93100,5.5,ng/ml,Spectral counting,Plasma,21632744,5.5,ng/ml,Plasma
HPRD_09001,NBL1,4681,70,ng/ml,Spectral counting,Plasma,21632744,70,ng/ml,Plasma
HPRD_00301,NCAM1,4684,33,ng/ml,Spectral counting,Plasma,21632744,33,ng/ml,Plasma
HPRD_04412,NEDD8,4738,15,ng/ml,Spectral counting,Plasma,21632744,15,ng/ml,Plasma
HPRD_14820,NEGR1,257194,4,ng/ml,Spectral counting,Plasma,21632744,4,ng/ml,Plasma
HPRD_03549,NEO1,4756,4.2,ng/ml,Spectral counting,Plasma,21632744,4.2,ng/ml,Plasma
HPRD_08874,NGF,4803,700,pg/ml,-,Plasma,15611012,700,pg/ml,Plasma
HPRD_08874,NGF,4803,700,pg/ml,-,Plasma,19690635,700,pg/ml,Plasma
HPRD_00574,NID1,4811,42,ng/ml,Spectral counting,Plasma,21632744,42,ng/ml,Plasma
HPRD_05654,NID2,22795,42,ng/ml,Spectral counting,Plasma,21632744,42,ng/ml,Plasma
HPRD_17634,NIT2,56954,7,ng/ml,Spectral counting,Plasma,21632744,7,ng/ml,Plasma
HPRD_01131,NME1,4830,6.1,ng/ml,-,Plasma,19690635,6.1,ng/ml,Plasma
HPRD_01132,NME2,4831,11,ng/ml,Spectral counting,Plasma,21632744,11,ng/ml,Plasma
HPRD_03488,NME3,4832,1.4,ng/ml,Spectral counting,Plasma,21632744,1.4,ng/ml,Plasma
HPRD_02478,NNMT,4837,321,pg/ml,ELISA,Plasma,20455597,321,pg/ml,Plasma
HPRD_02606,NOTCH2,4853,2.8,ng/ml,Spectral counting,Plasma,21632744,2.8,ng/ml,Plasma
HPRD_01291,NOV,4856,59,ng/ml,Spectral counting,Plasma,21632744,59,ng/ml,Plasma
HPRD_03008,NPC2,10577,230,ng/ml,Spectral counting,Plasma,21632744,4.7,ng/ml,Plasma
HPRD_07366,NPEPPS,9520,1.6,ng/ml,Spectral counting,Plasma,21632744,1.6,ng/ml,Plasma
HPRD_01246,NPM1,4869,3.9,ng/ml,Spectral counting,Plasma,21632744,3.9,ng/ml,Plasma
HPRD_00164,NPPA,4878,56,pg/ml,-,Plasma,15611012,56,pg/ml,Plasma
HPRD_08974,NPPB,4879,13.2 ± 8.6,pg/ml,Chemiluminescence assay,Serum,22165670,21.8,pg/ml,Serum
HPRD_08974,NPPB,4879,190,pg/ml,-,Plasma,15611012,190,pg/ml,Plasma
HPRD_14837,NPTXR,23467,5,ng/ml,Spectral counting,Plasma,21632744,5,ng/ml,Plasma
HPRD_01190,NQO2,4835,3.1,ng/ml,Spectral counting,Plasma,21632744,3.1,ng/ml,Plasma
HPRD_07207,NRCAM,4897,16,ng/ml,Spectral counting,Plasma,21632744,16,ng/ml,Plasma
HPRD_03828,NRGN,4900,6,ng/ml,Spectral counting,Plasma,21632744,6,ng/ml,Plasma
HPRD_03642,NRP1,8829,13,ng/ml,Spectral counting,Plasma,21632744,13,ng/ml,Plasma
HPRD_05871,NT5C3A,51251,1.8,ng/ml,Spectral counting,Plasma,21632744,1.8,ng/ml,Plasma
HPRD_06398,NTM,50863,5.5,ng/ml,Spectral counting,Plasma,21632744,5.5,ng/ml,Plasma
HPRD_02712,NTRK2,4915,2.3,ng/ml,Spectral counting,Plasma,21632744,2.3,ng/ml,Plasma
HPRD_03205,NUCB1,4924,18,ng/ml,Spectral counting,Plasma,21632744,18,ng/ml,Plasma
HPRD_03974,NUP88,4927,0.73-9.87,ng/ml,ELISA,Serum,21863385,9.87,ng/ml,Serum
HPRD_03012,NUP98,4928,2,ng/ml,Spectral counting,Plasma,21632744,2,ng/ml,Plasma
HPRD_12050,NUTF2,10204,2,ng/ml,Spectral counting,Plasma,21632744,2,ng/ml,Plasma
